Cue,Collection_S12,Collection_S15,Collection_S21,Collection_S22,Collection_S23,Collection_S30,Collection_S34,Collection_S57,Collection_S64,Collection_S65,Collection_S67,Collection_S7,Count_S12,Count_S15,Count_S21,Count_S22,Count_S23,Count_S30,Count_S34,Count_S57,Count_S64,Count_S65,Count_S67,Count_S7
abeill,"""instr""","""ruche"", ""miel"", ""bourdon""","""miel"", ""ruche"", ""fleur"", ""pollinisation""","""instr""","""instr""","""voler"", ""jeune"", ""noir"", ""miel"", ""ruche""","""instr""","""voler"", ""miel"", ""guêpe"", ""piquer"", ""faire, mal""","""miel"", ""arbre"", ""erbe""","""miel"", ""nature"", ""reine""",,"""miel"", ""ruche"", ""reine"", ""chemin""",1,3,4,1,1,5,1,5,3,3,0,4
accordéon,"""musique"", ""bar"", ""bus"", ""partition""","""musique"", ""rome"", ""vol"", ""argent""","""musique"", ""rue"", ""folklore"", ""difficile"", ""rouge"", ""air""",,"""musique"", ""traditionel"", ""performance"", ""artiste"", ""chanson""","""musique"", ""chiant"", ""bruit"", ""pas, joli""","""musique"", ""difficile"", ""bouton"", ""rouge""","""musique"", ""danser"", ""piano"", ""air"", ""son"", ""entendre"", ""ecouter""","""instrument"", ""musique"", ""guitar"", ""piano"", ""guitar, electriqu"", ""clavier""","""tramway"", ""musique"", ""pari"", ""romantique"", ""instrument"", ""musique"", ""son"", ""melodieux""","""instrument, medical, musical"", ""musique"", ""fribourg"", ""chanson"", ""français""","""musique"", ""danse"", ""ballet"", ""russie"", ""lac, de, cygne""",4,4,6,0,5,4,4,7,6,8,5,5
agrafe,"""feuille"", ""ecole"", ""devoir"", ""stylo"", ""agrafeuse"", ""ciseau""","""papier"", ""travail"", ""emprimente"", ""photocopieur""","""paquet"", ""document"", ""agrafer"", ""ressembler"", ""maintenir""",,"""papier"", ""document"", ""travail""","""feuille"", ""emprimer"", ""papier"", ""gris"", ""mal"", ""douleur""","""papier"", ""machine"", ""faire"", ""bruit""","""agrafer"", ""document"", ""garder"", ""propre"", ""classer""",,,,"""presse"", ""papier"", ""scolaire"", ""cancellerie""",6,4,5,0,3,6,4,5,0,0,0,4
anguille,"""electricité"", ""snorkeling"", ""mer"", ""ocean"", ""corail"", ""poisson""",,"""poisson"", ""long"", ""ondulation"", ""noir"", ""visqueux""",,,"""electriqu"", ""japon"", ""bon"", ""manger"", ""sushi"", ""riz""","""glisser"", ""grand"", ""noir"", ""haut""","""nager"", ""manger"", ""chasser"", ""poisson"", ""griller"", ""asaisoné""","""serpent"", ""mer"", ""fruit, de, mer""",,"""eau"", ""riviere"", ""mer""","""mer"", ""dessin, animer, de, disney""",6,0,5,0,0,6,4,6,3,0,3,2
arbalète,"""le, film, rebel"", ""chasse"", ""chasseur"", ""fusil"", ""arme"", ""tire, à, larc""",,"""armure"", ""moyen, age"", ""cruel"", ""destructeur"", ""dur""",,"""guerre"", ""combat"", ""dangereux"", ""mort"", ""blesser"", ""tuer""",,"""flèche"", ""guerre"", ""moyen, age"", ""bois""","""tirer"", ""tuer"", ""chasser"", ""manger"", ""fourrure""","""arc"", ""fleche"", ""tirer"", ""cible"", ""chasser""","""moyen, age"", ""defense"", ""combat"", ""bataille"", ""fleche"", ""narnia""",,"""guerre"", ""moyen, age"", ""bataille"", ""soldat""",6,0,5,0,6,0,4,5,5,6,0,4
artichaut,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asperge,"""vert"", ""cuisine"", ""huil"", ""couteau"", ""fourchette"", ""verre"", ""assiette""","""salade"", ""santé"", ""vert"", ""croquant"", ""delicieux""","""poisson"", ""vert"", ""long""","""vegetal"", ""vert"", ""cuisiner""","""vegetal"", ""sain"", ""nutrition""","""legume"", ""puer"", ""pipier"", ""long"", ""mayonnaise"", ""bon""","""vert"", ""sauce""","""asaisoner"", ""manger"", ""avec, un, sauce"", ""vapeur"", ""vitamine""",,"""salade"", ""bon"", ""santé""","""verdure"", ""vert"", ""vapeur""",,7,5,3,3,3,6,2,5,0,3,3,0
autruche,"""sable"", ""aile"", ""plume"", ""le, œuf"", ""grand"", ""courire, course"", ""vite""","""animal"", ""jardin, botanique"", ""sauvage"", ""de, oeuf""","""oiseau"", ""aggressif"", ""plume"", ""rapide""",,"""afrique"", ""sauvage"", ""zoo, park""","""rapide"", ""grand"", ""un, oeuf""","""plume"", ""dangereux"", ""vite""","""tête"", ""cacher"", ""courir""","""oiseau"", ""ail"", ""ciel"", ""nuage"", ""montagne""","""tête"", ""cou"", ""animal"", ""terre"", ""protection""","""pouvoir, juste, courir"", ""tre, vite""","""nid"", ""courir""",7,4,4,0,3,3,3,3,5,5,2,2
auvent,,,,,,,,"""hotel"", ""pluie"", ""cache"", ""restaurer""","""parapluie"", ""soleil"", ""jupiter"", ""mars""","""protection"", ""soleil""",,"""proteger, lentree"", ""porte, dentre"", ""vent"", ""soleil""",0,0,0,0,0,0,0,4,4,2,0,4
banjo,,,"""instrument"", ""musique"", ""etat, uni"", ""lousiane""",,,"""instrument"", ""guitar"", ""violon"", ""accorder"", ""acoustique""",,,,"""instrument, musiqu"", ""son"", ""vibration"", ""guitar""",,"""musique"", ""chanteur"", ""fête""",0,0,4,0,0,5,0,0,0,4,0,3
