Cue,Subject,Count,Collection
['abeill'],S7,4,"[""['miel']"", ""['ruche']"", ""['reine']"", ""['chemin']""]"
['abeill'],S12,1,"[""['instr']""]"
['abeill'],S15,3,"[""['ruche']"", ""['miel']"", ""['bourdon']""]"
['abeill'],S21,4,"[""['miel']"", ""['ruche']"", ""['fleur']"", ""['pollinisation']""]"
['abeill'],S22,1,"[""['instr']""]"
['abeill'],S23,1,"[""['instr']""]"
['abeill'],S30,5,"[""['voler']"", ""['jeune']"", ""['noir']"", ""['miel']"", ""['ruche']""]"
['abeill'],S34,1,"[""['instr']""]"
['abeill'],S57,5,"[""['voler']"", ""['miel']"", ""['guêpe']"", ""['piquer']"", ""['faire', 'mal']""]"
['abeill'],S64,3,"[""['miel']"", ""['arbre']"", ""['erbe']""]"
['abeill'],S65,3,"[""['miel']"", ""['nature']"", ""['reine']""]"
['abeill'],S67,0,[]
['accordéon'],S7,5,"[""['musique']"", ""['danse']"", ""['ballet']"", ""['russie']"", ""['lac', 'de', 'cygne']""]"
['accordéon'],S12,4,"[""['musique']"", ""['bar']"", ""['bus']"", ""['partition']""]"
['accordéon'],S15,4,"[""['musique']"", ""['rome']"", ""['vol']"", ""['argent']""]"
['accordéon'],S21,6,"[""['musique']"", ""['rue']"", ""['folklore']"", ""['difficile']"", ""['rouge']"", ""['air']""]"
['accordéon'],S22,0,[]
['accordéon'],S23,5,"[""['musique']"", ""['traditionel']"", ""['performance']"", ""['artiste']"", ""['chanson']""]"
['accordéon'],S30,4,"[""['musique']"", ""['chiant']"", ""['bruit']"", ""['pas', 'joli']""]"
['accordéon'],S34,4,"[""['musique']"", ""['difficile']"", ""['bouton']"", ""['rouge']""]"
['accordéon'],S57,7,"[""['musique']"", ""['danser']"", ""['piano']"", ""['air']"", ""['son']"", ""['entendre']"", ""['ecouter']""]"
['accordéon'],S64,6,"[""['instrument']"", ""['musique']"", ""['guitar']"", ""['piano']"", ""['guitar', 'electriqu']"", ""['clavier']""]"
['accordéon'],S65,8,"[""['tramway']"", ""['musique']"", ""['pari']"", ""['romantique']"", ""['instrument']"", ""['musique']"", ""['son']"", ""['melodieux']""]"
['accordéon'],S67,5,"[""['instrument', 'medical', 'musical']"", ""['musique']"", ""['fribourg']"", ""['chanson']"", ""['français']""]"
